user_id,user_name,user_location,user_tagline,friend_count,review_count,photo_count,five_start_count,four_start_count,three_start_count,two_start_count,one_start_count,useful_review_count,funny_review_count,cool_review_count,stats_dict,compliments_number,yelping_since,other_info_dict,elite_status_count,user_cities_dict,user_city_count
zrDMy_J_nyRteIYE1t3KOA,Diane O.,"Elgin, IL",,22,3,0,0,0,0,0,0,1,0,0,{'Tips': '2'},0,Mar-15,"{'Yelping Since': 'March 2015', 'Location': 'Elgin  IL'}",0,{'IL': 3},1
TF--rQiu3m1d7_CG3kMz4A,Jim L.,"Elgin, IL",,0,10,0,2,4,2,1,1,4,0,0,{},0,Oct-13,"{'Yelping Since': 'October 2013', 'Location': 'Elgin  IL'}",0,{'IL': 10},1
SIAKxrSgGA1mRG5IP7S_vg,Tanya G.,"Chicago, IL",â€œGive a girl the right pair of shoes  and she can conquer the world.â€ù,31,150,6,69,43,16,13,9,290,39,85,"{'Followers': '5', 'Firsts': '8'}",18,May-12,"{'Yelping Since': 'May 2012', 'Location': 'Chicago  IL', 'Find Me In': 'The shoe section', 'Things I Love': 'Shoes. Shopping. Travel.'}",4,"{'WI': 1, 'NE': 1, 'FL': 5, 'IA': 3, 'IL': 140}",5
A9cQCB2FVOPbr8p1Y7z0yA,Betty betsy K.,"Rosebud, SD",,0,16,0,11,1,1,1,2,8,1,2,{'Tips': '1'},0,May-12,"{'Yelping Since': 'May 2012', 'Location': 'Rosebud  SD'}",0,"{'NE': 1, 'IL': 15}",2
iK_rkCk84XwqiTGS0WIy5w,Review P.,"Schaumburg, IL",,9,39,6,21,12,2,2,2,13,1,7,"{'Followers': '2', 'Tips': '2', 'Review Updates': '3', 'Bookmarks': '1'}",0,Jun-13,"{'Yelping Since': 'June 2013', 'Location': 'Schaumburg  IL'}",0,"{'IN': 1, 'IL': 38}",2
3u1u0UJoJPIbLFRn03xNEA,Rupesh U.,"Kansas City, MO",,7,11,1,6,1,2,2,0,2,0,1,"{'Firsts': '1', 'Tips': '5', 'Bookmarks': '29'}",0,Apr-14,"{'Yelping Since': 'April 2014', 'Location': 'Kansas City  MO'}",0,"{'MN': 7, 'IL': 4}",2
mtyKu3fq6t_BOY9ltkvaEQ,Jeremiah K.,"Elgin, IL",,12,1,0,0,0,0,0,0,0,0,0,{'Tips': '1'},0,Jun-15,"{'Yelping Since': 'June 2015', 'Location': 'Elgin  IL'}",0,{'IL': 1},1
u1wvLZiOvY7UiGAQzRcKiw,Ben D.,"Elgin, IL",,7,8,0,4,3,1,0,0,3,4,3,{},1,Oct-14,"{'Yelping Since': 'October 2014', 'Location': 'Elgin  IL'}",0,{'IL': 8},1
1zgAKH6Gt5M8dRnixIyyZw,Joseph S.,"Algonquin, IL",,0,5,0,2,3,0,0,0,1,0,0,{'Tips': '1'},0,Feb-16,"{'Yelping Since': 'February 2016', 'Location': 'Algonquin  IL'}",0,"{'FL': 1, 'IL': 4}",2
i734mWVL1ePlWrUnreCHFQ,Nick K.,"Chicago, IL",,21,7,2,1,2,0,4,0,2,2,2,"{'Tips': '4', 'Bookmarks': '23'}",1,Nov-11,"{'Yelping Since': 'November 2011', 'Location': 'Chicago  IL'}",0,"{'WI': 1, 'IL': 6}",2
PFTNAFKAMTdp2OPVlyntTQ,Karen M.,"Los Angeles, CA",,6,88,19,38,15,6,10,19,65,12,19,"{'Followers': '3', 'Firsts': '1', 'Tips': '12', 'Review Updates': '5'}",7,Apr-13,"{'Yelping Since': 'April 2013', 'Location': 'Los Angeles  CA'}",0,"{'CA': 87, 'IL': 1}",2
Wy77kbiyWR38Sh2vXM3f1w,Luke D.,"Lake in the Hills, IL",,0,8,0,1,4,1,0,2,10,2,3,{'Firsts': '1'},0,Sep-12,"{'Yelping Since': 'September 2012', 'Location': 'Lake in the Hills  IL'}",0,"{'TX': 1, 'IL': 7}",2
lQ0eOJQdfQdiY90qLIfQPw,Doug P.,"Algonquin, IL",,13,42,67,22,10,5,4,1,22,7,8,"{'Lists': '1', 'Tips': '7', 'Review Updates': '7', 'Bookmarks': '9'}",0,Feb-08,"{'Yelping Since': 'February 2008', 'Location': 'Algonquin  IL'}",0,{'IL': 42},1
