business_id,business_name,business_url,business_rating,business_locationaddress,business_city,business_statecode,business_zipcode,business_reviewcount,offset
mama-milanos-pizza-bar-chicago,Mama Milano's Pizza Bar,https://www.yelp.com/biz/mama-milanos-pizza-bar-chicago,4.5,['1419 N Wells St'],Chicago,IL,60610,122,591
sullivans-steakhouse-chicago,Sullivan's Steakhouse,https://www.yelp.com/biz/sullivans-steakhouse-chicago,4.0,['415 N Dearborn St'],Chicago,IL,60654,330,591
ara-on-chicago-2,Ara On,https://www.yelp.com/biz/ara-on-chicago-2,4.0,['160 W Adams St'],Chicago,IL,60603,224,591
pret-a-manger-chicago,Pret A Manger,https://www.yelp.com/biz/pret-a-manger-chicago,4.0,['211 W Adams St'],Chicago,IL,60606,165,592
de-pasada-chicago-2,De Pasada,https://www.yelp.com/biz/de-pasada-chicago-2,4.0,['1517 W Taylor St'],Chicago,IL,60607,183,592
lockdown-bar-and-grill-chicago,Lockdown Bar & Grill,https://www.yelp.com/biz/lockdown-bar-and-grill-chicago,4.0,['1024 N Western Ave'],Chicago,IL,60622,975,592
bite-café-chicago-2,Bite Café,https://www.yelp.com/biz/bite-caf%C3%A9-chicago-2,4.0,['1035 N Western Ave'],Chicago,IL,60622,759,592
raymonds-hamburgers-and-tacos-chicago,Raymond's Hamburgers and Tacos,https://www.yelp.com/biz/raymonds-hamburgers-and-tacos-chicago,4.0,['2406 S Blue Island Ave'],Chicago,IL,60608,75,592
india-house-restaurant-chicago-2,India House Restaurant,https://www.yelp.com/biz/india-house-restaurant-chicago-2,3.5,['59 W Grand Ave'],Chicago,IL,60654,1112,592
cafeteria-yesenia-chicago,Cafeteria Yesenia,https://www.yelp.com/biz/cafeteria-yesenia-chicago,4.5,['4244 S Ashland Ave'],Chicago,IL,60609,36,592
the-bongo-room-chicago,The Bongo Room,https://www.yelp.com/biz/the-bongo-room-chicago,4.0,['1470 N Milwaukee Ave'],Chicago,IL,60622,1332,592
enolo-wine-cafe-chicago,Enolo Wine Cafe,https://www.yelp.com/biz/enolo-wine-cafe-chicago,4.0,['450 N Clark St'],Chicago,IL,60654,164,592
joy-yee-noodle-chicago-2,Joy Yee Noodle,https://www.yelp.com/biz/joy-yee-noodle-chicago-2,3.5,['2139 S China Pl'],Chicago,IL,60616,1185,592
roti-modern-mediterranean-chicago,Roti Modern Mediterranean,https://www.yelp.com/biz/roti-modern-mediterranean-chicago,4.0,['10 S Riverside Plz'],Chicago,IL,60606,241,592
rite-liquors-chicago,Rite Liquors,https://www.yelp.com/biz/rite-liquors-chicago,4.5,['1649 W Division St'],Chicago,IL,60622,56,592
takito-kitchen-chicago,Takito Kitchen,https://www.yelp.com/biz/takito-kitchen-chicago,4.0,['2013 W Division St'],Chicago,IL,60622,356,592
the-gallery-cabaret-chicago,The Gallery Cabaret,https://www.yelp.com/biz/the-gallery-cabaret-chicago,4.5,['2020 N Oakley Ave'],Chicago,IL,60647,141,592
haywood-tavern-chicago,Haywood Tavern,https://www.yelp.com/biz/haywood-tavern-chicago,4.5,['2759 W Augusta Blvd'],Chicago,IL,60622,74,592
the-roost-carolina-kitchen-chicago-2,The Roost Carolina Kitchen,https://www.yelp.com/biz/the-roost-carolina-kitchen-chicago-2,4.0,['455 N Milwaukee Ave'],Chicago,IL,60654,111,592
mama-milanos-pizza-bar-chicago,Mama Milano's Pizza Bar,https://www.yelp.com/biz/mama-milanos-pizza-bar-chicago,4.5,['1419 N Wells St'],Chicago,IL,60610,122,592
sullivans-steakhouse-chicago,Sullivan's Steakhouse,https://www.yelp.com/biz/sullivans-steakhouse-chicago,4.0,['415 N Dearborn St'],Chicago,IL,60654,330,592
ara-on-chicago-2,Ara On,https://www.yelp.com/biz/ara-on-chicago-2,4.0,['160 W Adams St'],Chicago,IL,60603,224,592
